SNIFFERID;TIMESTAMP;TIPO;SSID;RSSI;MAC_O;FREC;CANAL
sniffer2.4Ghz_6;5/11/2022, 7:07:13 AM:74;PROBE REQUEST;SSID oculto o desconocido;-26 dBm;8e:ce:ea:8c:03:e3;2437 Mhz;6

sniffer2.4Ghz_6;5/11/2022, 7:07:14 AM:980;PROBE REQUEST;MOVISTAR_D280;-106 dBm;70:03:9f:7b:67:fb;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:07:16 AM:20;PROBE REQUEST;SSID oculto o desconocido;-64 dBm;6a:3a:3e:33:3a:da;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:07:16 AM:24;PROBE REQUEST;SSID oculto o desconocido;-74 dBm;1e:1c:81:90:3d:e5;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:07:17 AM:60;PROBE REQUEST;SSID oculto o desconocido;-78 dBm;1e:1c:81:90:3d:e5;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:07:18 AM:100;PROBE REQUEST;SSID oculto o desconocido;-88 dBm;00:22:fe:41:a4:2a;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:07:19 AM:140;PROBE REQUEST;SSID oculto o desconocido;-106 dBm;00:22:fe:41:a4:2a;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:07:19 AM:143;PROBE REQUEST;SSID oculto o desconocido;-40 dBm;96:8b:ac:7d:90:74;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:07:19 AM:145;PROBE REQUEST;SSID oculto o desconocido;-40 dBm;96:8b:ac:7d:90:74;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:07:19 AM:147;PROBE REQUEST;SSID oculto o desconocido;-6 dBm;e2:f5:ad:4f:49:ae;2412 Mhz;1
sniffer2.4Ghz_6;5/11/2022, 7:07:20 AM:180;PROBE REQUEST;SSID oculto o desconocido;-6 dBm;e2:f5:ad:4f:49:ae;2422 Mhz;3
sniffer2.4Ghz_6;5/11/2022, 7:07:20 AM:183;PROBE REQUEST;SSID oculto o desconocido;-6 dBm;e2:f5:ad:4f:49:ae;2422 Mhz;3
sniffer2.4Ghz_6;5/11/2022, 7:07:20 AM:185;PROBE REQUEST;SSID oculto o desconocido;-6 dBm;96:8b:ac:7d:90:74;2422 Mhz;3
sniffer2.4Ghz_6;5/11/2022, 7:07:20 AM:187;PROBE REQUEST;SSID oculto o desconocido;-6 dBm;96:8b:ac:7d:90:74;2422 Mhz;3
